Head	Chest	Airbag	Doors	Year	Weight
599	35	0	2	87	2350
435	50	1	4	88	3280
600	49	0	4	89	2790
185	35	1	4	89	3100
1036	56	1	2	90	2862
815	47	0	4	91	2992
1467	54	0	4	88	3360
880	50	0	2	88	3210
423	39	1	4	90	3500
1603	72	0	6	88	3787
1849	64	0	6	89	4002
343	37	1	2	91	2671
864	50	0	2	88	2890
733	39	0	2	87	3070
585	39	1	2	91	3191
1328	64	0	4	89	3693
533	54	1	4	91	3990
770	49	0	4	90	2540
772	44	0	4	88	2750
493	41	1	4	91	2830
892	47	0	6	88	3680
1387	67	0	6	87	4887
3665	97	0	6	88	4244
1200	58	0	4	90	3155
834	62	0	2	89	3518
772	74	0	2	90	3720
1026	71	0	4	91	3820
985	58	0	6	87	2592
1074	66	0	6	90	3360
786	43	1	4	89	3820
517	43	1	4	90	3540
791	62	0	2	87	2870
298	40	1	2	90	3000
1362	55	0	4	88	3190
511	55	1	4	91	3310
768	43	0	2	88	1820
1354	53	0	4	88	2348
685	40	0	6	88	3550
985	44	0	6	87	3010
1169	57	0	6	90	3740
399	39	1	2	89	2790
503	42	1	4	91	2730
1421	47	0	4	89	2840
745	41	0	4	89	2740
877	46	0	4	89	3060
1568	49	0	6	87	3013
994	58	0	2	89	3485
2613	59	0	6	90	5103
551	42	0	2	87	2280
434	42	0	2	91	2336
903	52	0	4	91	4212
1074	56	0	6	88	3757
1014	52	0	2	88	1760
479	42	0	2	87	2868
651	42	1	2	90	3445
970	46	0	2	89	2650
550	42	0	2	91	2810
977	52	0	6	87	2668
1270	61	0	6	90	3533
707	38	0	4	88	3140
735	46	1	4	90	3080
480	44	1	4	91	3290
721	47	0	4	88	2660
541	44	0	2	89	3630
1075	56	0	4	89	1650
1030	47	0	4	90	2355
417	47	1	2	91	2250
769	46	0	2	87	2440
750	50	0	4	91	2850
562	45	1	4	91	3160
1068	50	0	4	91	2252
750	39	0	2	89	1882
787	37	0	2	88	2077
1279	59	0	2	90	2650
757	54	0	4	87	2200
716	55	0	2	87	2180
696	41	0	2	90	2200
870	45	0	2	91	2201
1196	54	0	4	89	2850
466	43	1	2	90	3370
996	56	0	2	90	2900
1809	53	0	4	87	2100
1254	69	0	4	91	3450
1764	65	0	6	87	2766
1873	59	0	6	88	3128
580	57	1	4	91	2333
1269	73	0	4	89	3685
1564	60	0	4	90	3684
968	69	0	4	89	3284
943	58	0	4	90	3270
1052	62	0	6	87	2907
758	44	0	2	87	3120
992	55	1	4	90	3280
863	48	1	4	89	3710
471	40	1	4	90	4080
846	52	0	4	87	2590
273	51	0	4	88	3470
1038	58	0	6	91	3730
779	57	0	4	91	2417
921	39	0	2	88	2630
800	60	1	4	90	3058
712	51	0	4	88	3200
743	64	1	4	87	2725
940	48	0	4	89	2280
772	44	0	2	90	2594
971	50	0	4	89	2740
1024	61	0	4	91	2838
1320	45	0	2	88	3298
952	48	0	2	87	3020
805	49	0	6	89	3441
1226	53	0	2	87	2739
765	54	1	2	91	3324
1051	46	0	6	90	3037
808	51	0	4	89	3160
907	64	0	4	88	3210
1528	67	0	6	88	2631
1465	57	0	6	87	2714
742	46	0	6	89	2670
1134	40	0	2	88	2480
2034	61	0	4	87	2296
1047	53	0	4	88	2328
583	46	0	2	91	2420
1105	59	0	4	90	2790
546	56	0	4	91	2740
949	54	0	6	88	3560
710	51	1	4	88	3460
1983	64	0	4	89	3010
1831	60	0	4	87	2900
1701	60	0	4	88	3070
663	46	0	4	89	2820
762	55	1	4	91	2860
873	52	0	4	87	2580
903	43	0	6	87	3040
846	44	0	2	87	2530
819	57	0	2	88	2200
603	36	0	4	87	2415
761	42	0	6	90	3740
1656	57	0	4	88	2660
718	46	0	2	88	2840
584	37	0	4	87	2990
918	44	0	4	91	2453
1339	58	0	4	87	2254
611	42	0	2	87	1660
1007	52	0	4	90	2640
1345	64	0	2	89	2311
1314	74	0	2	91	2643
1306	48	0	4	90	3860
871	51	0	4	87	2780
834	50	1	2	90	2460
593	42	0	2	88	2320
994	49	0	4	89	2370
1238	54	0	4	91	2405
790	51	0	4	89	3450
1184	57	0	6	87	2508
1520	47	0	6	89	2543
1342	49	0	6	91	3284
1434	66	0	6	91	3642
1005	40	0	2	88	2100
1138	57	0	4	91	2120
1801	52	0	2	87	2140
1114	55	0	2	88	2200
787	64	0	2	89	2150
1182	59	0	4	90	2990
1320	59	0	6	88	3520
519	42	1	4	88	3010
1855	45	0	2	87	1850
